,Medicine name,Therapeutic area,International non-proprietary name (INN) / common name,Substance,,Interaction term,
,BiResp Spiromax,"Pulmonary Disease, Chronic Obstructive, Asthma","budesonide, formoterol",carglumic acid,,Take before a meal. Take carglumic acid right before eating. Take with plain water. Carglumic acid tablets are dispersed in water to produce an oral suspension and should not be swallowed whole.,
,Benlysta,"Lupus Erythematosus, Systemic",belimumab,adalimumab,x,,
,Zoely,Contraception,"nomegestrol, estradiol",talazoparib,,"Take at the same time every day.
Take with or without food.",
,Carbaglu,"Amino Acid Metabolism, Inborn Errors, Propionic Acidemia",carglumic acid,voriconazole,,Take separate from meals. Take voriconazole at least one hour before or after eating for optimal absorption.,
,Hulio,"Hidradenitis Suppurativa, Psoriasis, Crohn Disease, Uveitis, Arthritis, Rheumatoid, Colitis, Ulcerative, Spondylitis, Ankylosing, Arthritis, Psoriatic",adalimumab,corifollitropin alfa,x,,
,Talzenna,Breast Neoplasms,talazoparib,rivastigmine,,Take with food. Administering rivastigmine capsules with food delays absorption but increases the AUC.,
,Voriconazole Hikma (previously Voriconazole Hospira),"Bacterial Infections and Mycoses, Aspergillosis, Candidiasis",voriconazole,isavuconazole,x,,
,Elonva,"Reproductive Techniques, Assisted, Ovulation Induction",corifollitropin alfa,fedratinib dihydrochloride monohydrate,x,,
,Prometax,"Alzheimer Disease, Parkinson Disease, Dementia",rivastigmine,palbociclib,,"Avoid grapefruit products. Grapefruit inhibits the CYP3A metabolism of palbociclib, which may increase its serum concentration.
Avoid St. John's Wort. This herb induces the CYP3A metabolism of palbociclib and may reduce its serum concentration.
Take at the same time every day. This applies to both palbociclib capsules and tablets.
Take with food. Palbociclib capsules should be taken with food. Some subjects have reduced bioavailability of palbociclib when in a fasted state, therefore taking with food makes the bioavailability more consistent.
Take with or without food. Palbociclib tablets may be taken with or without food.",
,Nepexto,"Arthritis, Rheumatoid, Arthritis, Juvenile Rheumatoid, Arthritis, Psoriatic, Spondylarthropathies, Spondylitis, Ankylosing, Psoriasis",etanercept,tofacitinib citrate,x,,
,Cresemba,Aspergillosis,isavuconazole,eslicarbazepine acetate,,Take with or without food.,
,Inrebic,"Myeloproliferative Disorders, Primary Myelofibrosis",fedratinib,duloxetine,,"Avoid excessive or chronic alcohol consumption. Alcohol increases the risk of liver toxicity.
Take with or without food. Do not sprinkle the contents of the capsules on food/liquids.",
,Ibrance,Breast Neoplasms,palbociclib,Canakinumab,x,,
,Xeljanz,"Arthritis, Rheumatoid",tofacitinib,Pembrolizumab,x,,
,Zebinix,Epilepsy,eslicarbazepine acetate,Ketoconazole,x,,
,Nodetrip (previously Xeristar),"Anxiety Disorders, Depressive Disorder, Major, Diabetic Neuropathies",duloxetine,linaclotide,,Avoid fatty foods. Co-administration with fatty foods may cause loose stools.,
,Ilaris,"Cryopyrin-Associated Periodic Syndromes, Arthritis, Juvenile Rheumatoid, Arthritis, Gouty",canakinumab,dimethyl fumarate,,Take with food. Co-administration with food may reduce gastrointestinal upset and flushing.,
,Exelon,"Dementia, Alzheimer Disease, Parkinson Disease",rivastigmine,Selinexor,,Take with or without food. Co-administration with food does not affect pharmacokinetics.,
,Keytruda,"Melanoma, Hodgkin Disease, Carcinoma, Non-Small-Cell Lung, Carcinoma, Renal Cell, Carcinoma, Transitional Cell, Urologic Neoplasms, Squamous Cell Carcinoma of Head and Neck",pembrolizumab,capecitabine,,Take with food. Take within 30 minutes of the end of breakfast and dinner.,
,Ketoconazole HRA,Cushing Syndrome,ketoconazole,fidaxomicin,,"Take with or without food. High-fat meal decreases the Cmax of fidaxomicin and its metabolite in a clinically insignificant way.
",
,Constella,Irritable Bowel Syndrome,linaclotide,Decitabine,x,,
,Skilarence,Psoriasis,dimethyl fumarate,bortezomib,,"Avoid St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum concentration of bortezomib.
Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of bortezomib.
Limit foods and supplements high in flavonoids. Flavonoids may interfere with the therapeutic action of this drug. Foods high in flavonoids include green vegetables, fruits, and green tea.
Limit foods and supplements high in vitamin C. Vitamin C may interfere with the therapeutic action of this drug. Foods high in vitamin C include citrus fruits and beverages.",
,Nexpovio,Multiple Myeloma,selinexor,belatacept,x,,
,Capecitabine Accord,"Colonic Neoplasms, Breast Neoplasms, Colorectal Neoplasms, Stomach Neoplasms",capecitabine,delafloxacin meglumine,,"Avoid multivalent ions. Separate the administration of multivalent cations from delafloxacin by at least 6 hours before or 2 hours after delafloxacin.
Take separate from antacids. The administration of antacids should be separated from delafloxacin by at least 6 hours before or 2 hours after delafloxacin.
Take with or without food.",
,Dificlir,Clostridium Infections,fidaxomicin,polatuzumab vedotin,x,,
,Dacogen,"Leukemia, Myeloid",decitabine,fondaparinux sodium,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include ginseng, ginkgo, ginger, and garlic.
",
,Velcade,Multiple Myeloma,bortezomib,upadacitinib,x,,
,Nulojix,"Graft Rejection, Kidney Transplantation",belatacept,rotavirus serotype G1,x,,
,Quofenix,"Skin Diseases, Bacterial",delafloxacin,lopinavir,,"Avoid St. John's Wort. Induction of CYP3A by co-administration with St. John's Wort may result in reduced drug plasma concentrations and therapeutic failure.
Take with food. The oral solution formulation must be taken with food, but the tablet formulation may be taken with or without food.",
,Polivy,"Lymphoma, B-Cell",polatuzumab vedotin,elvitegravir,,"Avoid St. John's Wort. This herb induces the CYP3A metabolism of elvitegravir. Therefore, it may reduce the serum concentration of elvitegravir and its effectiveness.
Take separate from antacids. Take at least 2 hours before or after antacids.
Take with food.",
,Arixtra,"Venous Thrombosis, Pulmonary Embolism, Myocardial Infarction, Angina, Unstable",fondaparinux sodium,cenobamate,x,,
,Rinvoq,"Arthritis, Rheumatoid",upadacitinib,peginterferon alfa-2b,x,,
,RotaTeq,"Immunization, Rotavirus Infections","rotavirus vaccine, live",gilteritinib fumarate,x,,
,Lopinavir/Ritonavir Mylan,HIV Infections,"lopinavir, ritonavir",clopidogrel,,Take with or without food.,
,Stribild,HIV Infections,"elvitegravir, cobicistat, emtricitabine, tenofovir disoproxil",nitisinone,,"Limit the intake of phenylalanine and tyrosine.
Take separate from meals. Nitisinone capsules should be separated by one hour before or two hours after meals.
Take with or without food. Nitisinone tablets can be taken with or without food but food may prolong the Tmax by six hours.",
,Ontozry,Epilepsy,cenobamate,clopidogrel hydrogen sulfate,x,,
,PegIntron,"Hepatitis C, Chronic",peginterferon alfa-2b,,x,,
,Xospata,"Leukemia, Myeloid, Acute",gilteritinib,ofatumumab,x,,
,Iscover,"Stroke, Peripheral Vascular Diseases, Atrial Fibrillation, Myocardial Infarction, Acute Coronary Syndrome",clopidogrel,ponesimod,x,,
,Nityr,Tyrosinemias,nitisinone,lenalidomide,,"Take with or without food. High-fat meals decrease absorption, but not to a clinically significant extent.
",
,Plavix,"Stroke, Peripheral Vascular Diseases, Atrial Fibrillation, Myocardial Infarction, Acute Coronary Syndrome",clopidogrel,rituximab,x,,
,Comirnaty,COVID-19 virus infection,COVID-19 mRNA vaccine (nucleoside-modified),levetiracetam,,"Take with or without food. Co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent.",
,Kesimpta,"Multiple Sclerosis, Relapsing-Remitting",ofatumumab,drospirenone,," Avoid St. John's Wort.
Take at the same time every day.
Take with or without food.",
,Ponvory,"Multiple Sclerosis, Relapsing-Remitting",ponesimod,estetrol monohydrate,,,
,Lenalidomide Accord,Multiple Myeloma,lenalidomide,raloxifene hydrochloride,x,,
,Truxima,"Lymphoma, Non-Hodgkin, Arthritis, Rheumatoid, Wegener Granulomatosis, Leukemia, Lymphocytic, Chronic, B-Cell, Microscopic Polyangiitis",rituximab,Chlormethine,,,
,Keppra,Epilepsy,levetiracetam,berotralstat dihydrochloride,x,,
,Drovelis,"Contraceptives, Oral","estetrol, drospirenone",loxapine,,"Avoid alcohol.
Take with food. Food reduces irritation.",
,Lydisilka,"Contraceptives, Oral","estetrol, drospirenone",pregabalin,," Avoid alcohol. Alcohol may increase CNS effects.
Take with or without food. Food alters drug absorption, but not to a clinically significant extent.",
,Clopidogrel Zentiva (previously Clopidogrel Winthrop),"Stroke, Peripheral Vascular Diseases, Myocardial Infarction, Acute Coronary Syndrome",clopidogrel,duvelisib,,"Avoid St. John's Wort. This herb induces CYP3A metabolism and may reduce serum levels of duvelisib.
Take with or without food.",
,Evista,"Osteoporosis, Postmenopausal",raloxifene,aztreonam lysine,x,,
,Ledaga,Mycosis Fungoides,chlormethine,telotristat etiprate,,,
,Orladeyo,"Angioedemas, Hereditary",berotralstat,paliperidone palmitate,,,
,Amsparity,"Arthritis, Rheumatoid, Arthritis, Juvenile Rheumatoid, Psoriasis, Arthritis, Psoriatic, Spondylitis, Ankylosing, Uveitis, Colitis, Ulcerative, Crohn Disease, Hidradenitis Suppurativa",adalimumab,pioglitazone hydrochloride,x,,
,Adasuve,"Schizophrenia, Bipolar Disorder",loxapine,vibrio cholerae,x,,
,Pregabalin Mylan,"Anxiety Disorders, Epilepsy",pregabalin,clopidogrel (as hydrochloride),x,,
,Copiktra,"Leukemia, Lymphocytic, Chronic, B-Cell, Lymphoma, Follicular",duvelisib,Alpelisib,,"Exercise caution with St. John's Wort. This herb induces CYP3A metabolism and may reduce serum levels of alpelisib.
Take at the same time every day.
Take with food. Food does not significantly affect the AUC of alpelisib.",
,Cayston,"Cystic Fibrosis, Respiratory Tract Infections",aztreonam,nintedanib,,"Take with food. Co-administration with food improves absorption.
",
,Xermelo,"Carcinoid Tumor, Neuroendocrine Tumors",telotristat ethyl,Tucatinib,,,
,Emtriva,HIV Infections,emtricitabine,buprenorphine,,"Avoid alcohol. Ingesting alcohol may increase the sedative and CNS depressant effects of buprenorphine.
Avoid grapefruit products. Grapefruit inhibits the metabolism of buprenorphine through CYP3A4, which increases the serum levels buprenorphine.
Take separate from meals. When buprenorphine is formulated as a sublingual tablet or buccal film, avoid eating or drinking until the dosage form is completely dissolved.",
,Truvada,HIV Infections,"emtricitabine, tenofovir disoproxil",fesoterodine fumarate,x,,
,Benepali,"Arthritis, Psoriatic, Arthritis, Rheumatoid, Psoriasis",etanercept,alemtuzumab,x,,
,Trevicta (previously Paliperidone Janssen),Schizophrenia,paliperidone,bictegravir,x,,
,Xeplion,Schizophrenia,paliperidone,ivacaftor,,"Take with a high fat meal. Co-administration with a high fat meal increases exposure to ivacaftor.
",
,Vaxzevria (previously COVID-19 Vaccine AstraZeneca),COVID-19 virus infection,COVID-19 Vaccine (ChAdOx1-S [recombinant]),edotreotide,x,,
,Pioglitazone Actavis,"Diabetes Mellitus, Type 2",pioglitazone,Arsenic trioxide,x,,
,Vaxchora,Cholera,"cholera vaccine, oral, live",temozolomide,,"Take at the same time every day.
Take on an empty stomach. Food reduces the absorption of temozolomide and taking it on an empty stomach may reduce temozolomide associated nausea and vomiting.",
,Clopidogrel Krka,"Peripheral Vascular Diseases, Stroke, Myocardial Infarction",clopidogrel,pegfilgrastim,x,,
,Piqray,Breast Neoplasms,alpelisib,paclitaxel,,"Avoid echinacea. Co-administration may decrease the effectiveness of immunosuppressants, and echinacea may induce CYP3A4 increasing paclitaxel metabolism.
Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of paclitaxel.
Exercise caution with St. John's Wort. This herb induces the CYP3A4 metabolism of paclitaxel and may reduce its serum concentration.",
,Genvoya,HIV Infections,"elvitegravir, cobicistat, emtricitabine, tenofovir alafenamide",trastuzumab deruxtecan,x,,
,Vargatef,"Carcinoma, Non-Small-Cell Lung",nintedanib,Apixaban,,"Avoid grapefruit products.
Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.
Avoid St. John's Wort. St. John's Wort will decrease levels of this medication.
Take with or without food.",
,Ofev,Idiopathic Pulmonary Fibrosis,nintedanib,Tolvaptan,,,
,Tukysa,"Breast Neoplasms, Neoplasm Metastasis",tucatinib,bevacizumab,x,,
,Buvidal,Opioid-Related Disorders,buprenorphine,trastuzumab,x,,
,Toviaz,"Urinary Bladder, Overactive",fesoterodine,methylthioninium chloride,,,
,Lemtrada,Multiple Sclerosis,alemtuzumab,darunavir,,Take with food. Food increases absorption.,
,Biktarvy,HIV Infections,"bictegravir, emtricitabine, tenofovir alafenamide",5-aminolevulinic acid hydrochloride,,,
,Zyllt,"Peripheral Vascular Diseases, Stroke, Acute Coronary Syndrome, Myocardial Infarction",clopidogrel,Idelalisib,,"Avoid grapefruit products. Grapefruit inhibits the CYP3A metabolism of idelalisib, which may increase its serum concentration.
Avoid St. John's Wort. This herb induces the CYP3A metabolism of idelalisib and may reduce its serum concentration.
Take with or without food. Taking idelalisib with a high-fat meal may increase the AUC by 1.4 fold.",
,Kaftrio,Cystic Fibrosis,"ivacaftor, tezacaftor, elexacaftor",Fluciclovine (18F),x,,
,SomaKit TOC,"Neuroendocrine Tumors, Radionuclide Imaging",edotreotide,glycopyrronium bromide,x,,
,Arsenic trioxide Mylan,"Leukemia, Promyelocytic, Acute",arsenic trioxide,esketamine hydrochloride,," Avoid alcohol. Ingesting alcohol may increase the sedative effects of esketamine.
Take separate from meals. Avoid eating for at least 2 hours, and drinking for at least 30 minutes before taking esketamine.",
,Temozolomide Sun,"Glioma, Glioblastoma",temozolomide,follitropin beta,x,,
,Pelgraz,Neutropenia,pegfilgrastim,laronidase,x,,
,Pazenir,Breast Neoplasms,paclitaxel,tafamidis,,,
,Enhertu,Breast Neoplasms,trastuzumab deruxtecan,Caffeine citrate,,,
,Eliquis,"Arthroplasty, Venous Thromboembolism",apixaban,dulaglutide,x,,
,Jinarc,"Polycystic Kidney, Autosomal Dominant",tolvaptan,dapagliflozin propanediol monohydrate,,"Avoid excessive or chronic alcohol consumption. Binge drinking or drinking alcohol often may predispose patients to ketoacidosis.
Take with or without food.",
,Mvasi,"Carcinoma, Renal Cell, Peritoneal Neoplasms, Ovarian Neoplasms, Breast Neoplasms, Carcinoma, Non-Small-Cell Lung, Fallopian Tube Neoplasms",bevacizumab,turoctocog alfa,x,,
,Trazimera,"Stomach Neoplasms, Breast Neoplasms",trastuzumab,Brentuximab vedotin,x,,
,Lumeblue (previously known as Methylthioninium chloride Cosmo),"Colorectal Neoplasms, Colonoscopy",methylthioninium chloride,desloratadine,,"Take with or without food. The absorption is unaffected by food.
",
,Symtuza,HIV Infections,"darunavir, cobicistat, emtricitabine, tenofovir alafenamide",efavirenz,,,Tenofovir disoproxil
,Ameluz,"Keratosis, Actinic, Carcinoma, Basal Cell",5-aminolevulinic acid hydrochloride,indacaterol,,,
,Zydelig,"Lymphoma, Non-Hodgkin, Leukemia, Lymphocytic, Chronic, B-Cell",idelalisib,linagliptin,,"Avoid excessive or chronic alcohol consumption. Chronic or binge drinking can increase the risk of serious side effects.
Take with or without food. High fat meals reduce the maximum concentration and increase the AUC, but not to a clinically significant extent.",
,Paliperidone Janssen-Cilag International,Schizophrenia,paliperidone,imipenem monohydrate,,,Imipenem
,Axumin,"Prostatic Neoplasms, Radionuclide Imaging",fluciclovine (18F),Cemiplimab,x,,
,Zimbus Breezhaler,Asthma,"indacaterol, glycopyrronium, mometasone furoate",florbetaben (18F),,,
,Spravato,Depressive Disorder,esketamine,Givosiran,,,
,Puregon,"Infertility, Hypogonadism",follitropin beta,tildrakizumab,x,,
,Aldurazyme,Mucopolysaccharidosis I,laronidase,busulfan,,"Drink plenty of fluids.
Exercise caution with grapefruit products.
Exercise caution with St. John's Wort.
Take at the same time every day.",
,Vyndaqel,Amyloidosis,tafamidis,ocrelizumab,x,,
,Gencebok,Apnea,caffeine citrate,pemetrexed,x ,"Administer folic acid supplement. Folic acid supplement of 400 to 1000 mcg daily should be given 7 days before treatment with Pemetrexed and continue until 21 days after discontinuation of Pemetrexed to reduce the risk of hematologic and gastrointestinal toxicities.
Administer vitamin supplements. Administration of vitamin B12 intramuscular supplement one week before treatment with pemetrexed and every three cycles will reduce the risk of hematological and gastrointestinal toxicities.",
,Trulicity,"Diabetes Mellitus, Type 2",dulaglutide,Isatuximab,x,,
,Forxiga,"Diabetes Mellitus, Type 2, Diabetes Mellitus, Type 1",dapagliflozin,nilotinib,,"Avoid grapefruit products. Grapefruit inhibits the CYP3A4 metabolism of nilotinib, causing increased serum levels of nilotinib.
Avoid St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum concentration of nilotinib.
Take on an empty stomach. Food increases the AUC of nilotinib. Separate nilotinib administration from meals by at least one hour before and two hours after eating.",
,NovoEight,Hemophilia A,turoctocog alfa,midazolam,,"Avoid grapefruit products.
",
,Adcetris,"Lymphoma, Non-Hodgkin, Hodgkin Disease",brentuximab vedotin,infliximab,x,,
,Aerius,"Rhinitis, Allergic, Perennial, Urticaria, Rhinitis, Allergic, Seasonal",desloratadine,canagliflozin,,"Avoid alcohol. Excess alcohol intake may promote ketoacidosis.
Drink plenty of fluids.
Take before a meal. It is recommended to take this drug before the first meal of the day.",
,Efavirenz/Emtricitabine/Tenofovir disoproxil Zentiva,HIV Infections,"efavirenz, emtricitabine, tenofovir disoproxil",glycopyrronium bromide,x,"Take with or without food. The absorption is unaffected by food.
",
,Bemrist Breezhaler,Asthma,"indacaterol, mometasone",follitropin delta,x,,
,Clopidogrel Mylan,"Peripheral Vascular Diseases, Stroke, Myocardial Infarction",clopidogrel,sildenafil,x,Take with or without food. If taken with a high-fat meal the medicine may take a little longer to start working.,
,Trajenta,"Diabetes Mellitus, Type 2",linagliptin,Buprenorphine hydrochloride,,"Avoid alcohol. Ingesting alcohol may increase the sedative and CNS depressant effects of buprenorphine.
Avoid grapefruit products. Grapefruit inhibits the metabolism of buprenorphine through CYP3A4, which increases the serum levels buprenorphine.
Take separate from meals. When buprenorphine is formulated as a sublingual tablet or buccal film, avoid eating or drinking until the dosage form is completely dissolved.",
,Onbevzi,"Colorectal Neoplasms, Breast Neoplasms, Ovarian Neoplasms, Fallopian Tube Neoplasms, Peritoneal Neoplasms, Carcinoma, Non-Small-Cell Lung, Carcinoma, Renal Cell, Uterine Cervical Neoplasms",bevacizumab,memantine hydrochloride,,"Take with a full glass of water.
Take with or without food. The absorption is unaffected by food.",memantine
,Imraldi,"Hidradenitis Suppurativa, Psoriasis, Crohn Disease, Uveitis, Arthritis, Rheumatoid, Arthritis, Colitis, Ulcerative, Spondylitis, Ankylosing, Arthritis, Psoriatic",adalimumab,zoledronic acid,,,
,Recarbrio,Gram-Negative Bacterial Infections,"imipenem, cilastatin, relebactam",imatinib,,"Avoid grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which can increase serum levels of imatinib.
Exercise caution with St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum concentration of imatinib.
Take with a full glass of water. Taking imatinib with water may reduce gastric irritation.
Take with food. Food reduces gastric irritation.",
,Kaletra,HIV Infections,"lopinavir, ritonavir",ganirelix,,,
,Libtayo,"Carcinoma, Squamous Cell",cemiplimab,alendronic acid,,"Administer vitamin supplements. Patients may require supplemental vitamin D.
Avoid multivalent ions. Calcium, antacids, and divalent ions may interfere with the absorption of this medication.
Take before a meal. Take 30-60 minutes before breakfast.
Take with a full glass of water.",
,Neuraceq,"Radionuclide Imaging, Alzheimer Disease",florbetaben (18F),zonisamide,,"Avoid alcohol. Ingesting alcohol may increase drowsiness and dizziness.
Take with or without food.",
,Givlaari,"Porphyrias, Hepatic",givosiran,Mecasermin,x,,
,Ilumetri,Psoriasis,tildrakizumab,ticagrelor,,"Avoid grapefruit products. Grapefruit inhibits the CYP3A4 metabolism of ticagrelor, which may increase its serum concentration.
Avoid herbs and supplements with anticoagulant/antiplatelet activity. Herbs with antiplatelet activity may increase the risk of bleeding. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.
Avoid St. John's Wort. This herb induces the CYP3A4 metabolism of ticagrelor and may reduce its serum concentration.
Take with or without food.",
,Busulfan Fresenius Kabi,Hematopoietic Stem Cell Transplantation,busulfan,insulin lispro,x,,
,Ocrevus,Multiple Sclerosis,ocrelizumab,adenovirus type 26 encoding the SARS-CoV-2 spike glycoprotein (Ad26.COV2-S),x,,
,Pemetrexed Fresenius Kabi,"Carcinoma, Non-Small-Cell Lung, Mesothelioma",pemetrexed,larotrectinib sulfate,x,,
,Sarclisa,Multiple Myeloma,isatuximab,siltuximab,x,,
,Tasigna,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",nilotinib,sorafenib,,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum levels of sorafenib.
Exercise caution with St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce serum levels of sorafenib.
Take on an empty stomach. Take sorafenib with at least one-hour separation before meals and two hours after meals.",
,Buccolam,Epilepsy,midazolam,Etravirine,,"Avoid grapefruit products. Grapefruit inhibits the CYP3A metabolism of etravirine, which may increase its serum concentration.
Avoid St. John's Wort. This herb induces the CYP3A metabolism of etravirine and may reduce its serum concentration.
Take after a meal. Take after meals. This increases the bioavailability of etravirine.",
,Remsima,"Arthritis, Psoriatic, Spondylitis, Ankylosing, Colitis, Ulcerative, Psoriasis, Crohn Disease, Arthritis, Rheumatoid",infliximab,enzalutamide,,"Avoid St. John's Wort. This herb induces the CYP3A4 metabolism of enzalutamide and may reduce its serum concentration.
Take with or without food.",
,Vokanamet,"Diabetes Mellitus, Type 2","canagliflozin, metformin",lamivudine,,,
,Enurev Breezhaler,"Pulmonary Disease, Chronic Obstructive",glycopyrronium bromide,perampanel,,,
,Yuflyma,"Arthritis, Rheumatoid, Spondylitis, Ankylosing, Psoriasis, Arthritis, Psoriatic, Colitis, Ulcerative, Crohn Disease, Arthritis, Juvenile Rheumatoid, Hidradenitis Suppurativa, Uveitis",adalimumab,Bempedoic acid,,,
,Rekovelle,Anovulation,follitropin delta,Delamanid,x,,
,Sildenafil Actavis,Erectile Dysfunction,sildenafil,apremilast,,"Avoid St. John's Wort. Apremilast is a CYP3A substrate; therefore, co-administration with St. John's wort, a CYP3A inducer, may reduce the serum level of apremilast.
Take with or without food.",
,Zubsolv,Opioid-Related Disorders,"buprenorphine, naloxone",safinamide methanesulfonate,,"Avoid excessive or chronic alcohol consumption. Ingesting alcohol may increase the sedative effects of safinamide.
Avoid St. John's Wort. This herb may increase the risk of serotonin syndrome, and therefore, concomitant use is contraindicated.
Avoid tyramine-containing foods and supplements. Avoid foods containing high amounts of tyramine (>150mg) as these foods may cause a significant elevation in blood pressure. Tyramine-containing foods include cheese, red wine, flava beans, pickled food, cured food, and alcoholic beverages.
Take at the same time every day.
Take with or without food.",
,Kalydeco,Cystic Fibrosis,ivacaftor,ferric maltol,x,,
,Memantine Mylan,Alzheimer Disease,memantine,carfilzomib,,,
,Aclasta,"Osteoporosis, Osteitis Deformans, Osteoporosis, Postmenopausal",zoledronic acid,ambrisentan,,,
,Glivec,"Precursor Cell Lymphoblastic Leukemia-Lymphoma, Gastrointestinal Stromal Tumors, Dermatofibrosarcoma, Myelodysplastic-Myeloproliferative Diseases, Leukemia, Myelogenous, Chronic, BCR-ABL Positive, Hypereosinophilic Syndrome",imatinib,meropenem trihydrate,,,
,Orgalutran,"Reproductive Techniques, Assisted, Ovulation Induction",ganirelix,abacavir (as sulfate),," Avoid alcohol. Alcohol increases the systemic exposure to the drug.
Take with or without food. The absorption is unaffected by food.",
,Axura,Alzheimer Disease,memantine,doxorubicin hydrochloride,,"Avoid St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum concentration of doxorubicin.
Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of doxorubicin.",
,Fosavance,"Osteoporosis, Postmenopausal","alendronic acid, colecalciferol",nivolumab,x,,
,Aerinaze,"Rhinitis, Allergic, Seasonal","desloratadine, pseudoephedrine",pertuzumab,x,,
,Zonisamide Mylan,Epilepsy,zonisamide,inotersen sodium,x,,
,Increlex,Laron Syndrome,mecasermin,lurasidone,,"Take with food. The manufacturer recommends co-administration with at least 350 calories.
",
,Brilique,"Peripheral Vascular Diseases, Acute Coronary Syndrome",ticagrelor,imiquimod,,,
,Lyumjev (previously Liumjev),Diabetes Mellitus,insulin lispro,influenza virus surface antigens (haemagglutinin and neuraminidase) of strain: A/turkey/Turkey/1/05 (H5N1)-like strain (NIBRG-23),x,,
,Atectura Breezhaler,Asthma,"indacaterol, mometasone",Methotrexate,,"Avoid alcohol.
Avoid milk and dairy products. Milk and dairy products reduce absorption.
Exercise caution with St. John's Wort.
Limit caffeine intake. Caffeine may reduce the effectiveness of methotrexate.
Take with or without food.",
,COVID-19 Vaccine Janssen,COVID-19 virus infection,COVID-19 vaccine (Ad26.COV2-S [recombinant]),adefovir dipivoxil,,,
,Vitrakvi,Abdominal Neoplasms,larotrectinib,filgotinib maleate,,,
,Sylvant,Giant Lymph Node Hyperplasia,siltuximab,Glasdegib maleate,,"Avoid St. John's Wort. This herb induces CYP3A metabolism and may reduce serum levels of glasdegib.
Take at the same time every day.
Take with or without food.",
,Enerzair Breezhaler,Asthma,"indacaterol, glycopyrronium bromide, mometasone",Ataluren,,,
