diseaseId2	diseaseId1	source	Ngenes	NgenesD1	NgenesD2	union_genes	jaccard_genes	Nvariants	NvariantsD1	NvariantsD2	union_variant	jaccard_variant	diseaseId1_name	diseaseId2_name
51940	C0007102	C1837315	CURATED	0	0	0	0	0	368	374	416	422	0.872037914691943	COLORECTAL CANCER, SUSCEPTIBILITY TO, 1	Malignant tumor of colon
52064	C0007102	C2675481	CURATED	0	0	0	0	0	368	370	416	418	0.880382775119617	COLORECTAL CANCER, SUSCEPTIBILITY TO, 10	Malignant tumor of colon
52067	C0007102	C2677123	CURATED	0	0	0	0	0	368	368	416	416	0.884615384615385	COLORECTAL CANCER, SUSCEPTIBILITY TO, 3	Malignant tumor of colon
52171	C0007102	C3554460	CURATED	0	0	0	0	0	368	373	416	421	0.874109263657957	COLORECTAL CANCER, SUSCEPTIBILITY TO, 12	Malignant tumor of colon
63937	C0007965	C4016992	CURATED	0	0	0	0	0	7	7	10	10	0.7	CHEDIAK-HIGASHI SYNDROME, CHILDHOOD TYPE	Chediak-Higashi Syndrome
65251	C0008313	C0038013	CURATED	0	0	0	0	0	245	363	276	394	0.621827411167513	Ankylosing spondylitis	Cholangitis, Sclerosing
65621	C0008350	C0947622	CURATED	1	1	2	2	0.5	31	31	32	32	0.96875	Cholecystolithiasis	Cholelithiasis
66381	C0008372	C4021883	CURATED	0	0	0	0	0	1	1	1	1	1	Abnormal liver function tests during pregnancy	Intrahepatic Cholestasis
66404	C0008373	C0263870	CURATED	0	0	0	0	0	1	1	1	1	1	Narrowing of intervertebral disc space	Cholesteatoma
66415	C0008373	C0748473	CURATED	0	0	0	0	0	1	1	1	1	1	Arthritis, Sacroiliac	Cholesteatoma
67335	C0008767	C0574769	CURATED	0	0	0	0	0	3	4	3	4	0.75	Loss of scalp hair	Cicatrization
67340	C0008767	C3806301	CURATED	0	0	0	0	0	3	3	3	3	1	Scarring alopecia of scalp	Cicatrization
67341	C0008767	C4021800	CURATED	0	0	0	0	0	3	4	3	4	0.75	Abnormality of dental enamel	Cicatrization
70953	C0009324	C0038013	CURATED	4	11	63	70	0.0571428571428571	294	363	475	544	0.540441176470588	Ankylosing spondylitis	Ulcerative Colitis
75110	C0009404	C1319315	CURATED	24	96	277	349	0.0687679083094556	371	420	586	635	0.584251968503937	Adenocarcinoma of large intestine	Colorectal Neoplasms
75246	C0009404	C1837315	CURATED	1	1	277	277	0.0036101083032491	368	374	586	592	0.621621621621622	COLORECTAL CANCER, SUSCEPTIBILITY TO, 1	Colorectal Neoplasms
75422	C0009404	C2675481	CURATED	1	1	277	277	0.0036101083032491	368	370	586	588	0.625850340136054	COLORECTAL CANCER, SUSCEPTIBILITY TO, 10	Colorectal Neoplasms
75426	C0009404	C2677123	CURATED	0	0	0	0	0	368	368	586	586	0.627986348122867	COLORECTAL CANCER, SUSCEPTIBILITY TO, 3	Colorectal Neoplasms
75566	C0009404	C3554460	CURATED	1	1	277	277	0.0036101083032491	369	373	586	590	0.625423728813559	COLORECTAL CANCER, SUSCEPTIBILITY TO, 12	Colorectal Neoplasms
76548	C0009451	C0152207	CURATED	0	0	0	0	0	1	1	1	1	1	Alternating Exotropia	Communicating Hydrocephalus
76602	C0009451	C1835764	CURATED	0	0	0	0	0	1	1	1	1	1	Vertebral arch anomaly	Communicating Hydrocephalus
76617	C0009451	C1850853	CURATED	0	0	0	0	0	1	1	1	1	1	Hyperextensibility at wrists	Communicating Hydrocephalus
76628	C0009451	C1866245	CURATED	0	0	0	0	0	1	1	1	1	1	Hyperpigmented streaks	Communicating Hydrocephalus
76649	C0009451	C3806616	CURATED	0	0	0	0	0	1	1	1	1	1	Macular hypopigmented whorls, streaks, and patches	Communicating Hydrocephalus
76659	C0009451	C4022871	CURATED	0	0	0	0	0	1	1	1	1	1	Extra-axial cerebrospinal fluid accumulation	Communicating Hydrocephalus
76662	C0009451	C4024854	CURATED	0	0	0	0	0	1	1	1	1	1	Irregular hyperpigmentation of back	Communicating Hydrocephalus
76663	C0009451	C4024877	CURATED	0	0	0	0	0	1	1	1	1	1	Hyperpigmented/hypopigmented macules	Communicating Hydrocephalus
76670	C0009451	C4476709	CURATED	0	0	0	0	0	1	1	1	1	1	Delayed ability to stand	Communicating Hydrocephalus
76671	C0009451	C4476710	CURATED	0	0	0	0	0	1	1	1	1	1	Delayed ability to sit	Communicating Hydrocephalus
81915	C0010520	C0015930	CURATED	0	0	0	0	0	1	1	1	1	1	Fetal Distress	Cyanosis
81946	C0010520	C0240671	CURATED	0	0	0	0	0	1	1	1	1	1	Partial thromboplastin time increased (finding)	Cyanosis
81983	C0010520	C4022114	CURATED	0	0	0	0	0	1	1	1	1	1	Aplasia/hypoplasia of the proximal phalanx of the 5th toe	Cyanosis
90586	C0011847	C0011849	CURATED	3	32	3	32	0.09375	104	118	104	118	0.88135593220339	Diabetes Mellitus	Diabetes
91095	C0011849	C0011847	CURATED	3	3	32	32	0.09375	104	104	118	118	0.88135593220339	Diabetes	Diabetes Mellitus
97253	C0012242	C0017178	CURATED	0	0	0	0	0	8	8	8	8	1	Gastrointestinal Diseases	Digestive System Disorders
97255	C0012242	C0021831	CURATED	0	0	0	0	0	8	8	8	8	1	Intestinal Diseases	Digestive System Disorders
101368	C0013336	C0342573	CURATED	7	9	25	27	0.259259259259259	8	9	13	14	0.571428571428571	PITUITARY DWARFISM I	Dwarfism
104140	C0013592	C0020672	CURATED	0	0	0	0	0	2	3	2	3	0.666666666666667	Hypothermia, natural	Ectropion
104143	C0013592	C3550430	CURATED	0	0	0	0	0	2	2	2	2	1	Eclabion	Ectropion
107511	C0014390	C4022715	CURATED	0	0	0	0	0	1	1	1	1	1	Hypoplastic female external genitalia	Entropion
107513	C0014390	C4025406	CURATED	0	0	0	0	0	1	1	1	1	1	Abnormality of the middle phalanx of the 5th finger	Entropion
107656	C0014457	C0151683	CURATED	0	0	0	0	0	1	1	1	1	1	Neutrophilia (finding)	Eosinophilia
107719	C0014457	C1839167	CURATED	0	0	0	0	0	1	1	1	1	1	Intermittent thrombocytopenia	Eosinophilia
107720	C0014457	C1839305	CURATED	0	0	0	0	0	1	1	1	1	1	Decreased proportion of CD8-positive T cells	Eosinophilia
107724	C0014457	C1858977	CURATED	0	0	0	0	0	1	1	1	1	1	Increased IgG level	Eosinophilia
111758	C0015190	C0021141	CURATED	0	0	0	0	0	1	1	1	1	1	Inappropriate ADH Syndrome	Euthyroid Sick Syndromes
111760	C0015190	C0030446	CURATED	0	0	0	0	0	1	1	1	1	1	Paralytic Ileus	Euthyroid Sick Syndromes
111762	C0015190	C0035232	CURATED	0	0	0	0	0	1	1	1	1	1	Respiratory Paralysis	Euthyroid Sick Syndromes
111770	C0015190	C0338614	CURATED	0	0	0	0	0	1	1	1	1	1	Psychotic episodes	Euthyroid Sick Syndromes
111772	C0015190	C1142277	CURATED	0	0	0	0	0	1	1	1	1	1	Brown urine	Euthyroid Sick Syndromes
111999	C0015230	C4025148	CURATED	0	0	0	0	0	2	2	3	3	0.666666666666667	Hyperextensible thumb	Exanthema
114153	C0015644	C2146481	CURATED	0	0	0	0	0	1	1	1	1	1	Bilateral vocal cord paralysis	Muscular fasciculation
114154	C0015644	C3277688	CURATED	0	0	0	0	0	1	1	1	1	1	Progressive forgetfulness	Muscular fasciculation
114159	C0015644	C4025347	CURATED	0	0	0	0	0	1	1	1	1	1	Weakness of muscles of respiration	Muscular fasciculation
117475	C0016242	C0020581	CURATED	0	0	0	0	0	1	1	1	1	1	Hyphema	Vitreous floaters
117483	C0016242	C0233286	CURATED	0	0	0	0	0	1	1	1	1	1	Frank Breech Presentation	Vitreous floaters
117498	C0016242	C1844509	CURATED	0	0	0	0	0	1	1	1	1	1	Antegonial notching of mandible	Vitreous floaters
117509	C0016242	C4021945	CURATED	0	0	0	0	0	1	1	1	1	1	Abnormality of globe size	Vitreous floaters
117510	C0016242	C4023357	CURATED	0	0	0	0	0	1	1	1	1	1	Maternal teratogenic exposure	Vitreous floaters
117513	C0016242	C4025844	CURATED	0	0	0	0	0	1	1	1	1	1	Abnormal chorioretinal morphology	Vitreous floaters
117516	C0016242	C4316811	CURATED	0	0	0	0	0	1	1	1	1	1	Abnormality of the nasal septum	Vitreous floaters
119852	C0017152	C1842777	CURATED	0	0	0	0	0	2	2	3	3	0.666666666666667	Recurrent upper and lower respiratory tract infections	Gastritis
120296	C0017178	C0012242	CURATED	0	0	0	0	0	8	8	8	8	1	Digestive System Disorders	Gastrointestinal Diseases
120365	C0017178	C0021831	CURATED	0	0	0	0	0	8	8	8	8	1	Intestinal Diseases	Gastrointestinal Diseases
130331	C0018799	C0033999	CURATED	0	0	0	0	0	1	1	1	1	1	Pterygium	Heart Diseases
130540	C0018799	C0455792	CURATED	0	0	0	0	0	1	1	1	1	1	Small scrotum	Heart Diseases
135293	C0018946	C1879362	CURATED	0	0	0	0	0	1	1	1	1	1	Hypertyrosinemia	Hematoma, Subdural
135307	C0018946	C4023683	CURATED	0	0	0	0	0	1	1	1	1	1	EEG with spike-wave complexes	Hematoma, Subdural
135308	C0018946	C4024993	CURATED	0	0	0	0	0	1	1	1	1	1	Aplasia/Hypoplasia of the clavicles	Hematoma, Subdural
136425	C0019029	C1314664	CURATED	0	0	0	0	0	8	8	8	8	1	Dipstick assessment of hemoglobin concentration	Hemoglobin concentration result
136426	C0019029	C1318517	CURATED	0	0	0	0	0	8	8	8	8	1	Finding of hemoglobin concentration	Hemoglobin concentration result
147638	C0020258	C1839437	CURATED	0	0	0	0	0	2	3	2	3	0.666666666666667	Chronic lactic acidosis	Hydrocephalus, Normal Pressure
147643	C0020258	C1865918	CURATED	0	0	0	0	0	2	2	2	2	1	Restrictive external ophthalmoplegia	Hydrocephalus, Normal Pressure
147645	C0020258	C3203358	CURATED	0	0	0	0	0	2	2	2	2	1	Hypoventilation	Hydrocephalus, Normal Pressure
150440	C0020450	C0685381	CURATED	0	0	0	0	0	3	3	5	5	0.6	Congenital hypoplasia of radius	Hyperemesis Gravidarum
150444	C0020450	C1859292	CURATED	0	0	0	0	0	3	3	5	5	0.6	Triangular-shaped open mouth	Hyperemesis Gravidarum
150445	C0020450	C1861331	CURATED	0	0	0	0	0	3	3	5	5	0.6	Limited pronation/supination of forearm	Hyperemesis Gravidarum
152252	C0020488	C0020635	CURATED	0	0	0	0	0	1	1	1	1	1	Hypopituitarism	Hypernatremia
152331	C0020488	C0549423	CURATED	0	0	0	0	0	1	1	1	1	1	Obstructive Hydrocephalus	Hypernatremia
152414	C0020488	C1855669	CURATED	0	0	0	0	0	1	1	1	1	1	Absent frontal sinuses	Hypernatremia
152418	C0020488	C1861349	CURATED	0	0	0	0	0	1	1	1	1	1	Absent distal interphalangeal creases	Hypernatremia
152421	C0020488	C1970591	CURATED	0	0	0	0	0	1	1	1	1	1	Abnormal pupillary light reflex	Hypernatremia
152432	C0020488	C3554724	CURATED	0	0	0	0	0	1	1	1	1	1	Complete duplication of thumb phalanx	Hypernatremia
152439	C0020488	C4021845	CURATED	0	0	0	0	0	1	1	1	1	1	Oromotor apraxia	Hypernatremia
152441	C0020488	C4025537	CURATED	0	0	0	0	0	1	1	1	1	1	Humerus varus	Hypernatremia
152446	C0020488	C4073265	CURATED	0	0	0	0	0	1	1	1	1	1	Abnormality of inferior oblique extraocular muscle	Hypernatremia
152601	C0020497	C0029458	CURATED	0	0	0	0	0	8	13	9	14	0.571428571428571	Osteoporosis, Postmenopausal	Cortical Congenital Hyperostosis
152813	C0020500	C0154850	CURATED	0	0	0	0	0	1	1	1	1	1	Cystoid macular retinal degeneration	Hyperoxaluria
152822	C0020500	C0271051	CURATED	0	0	0	0	0	1	1	1	1	1	Macular retinal edema	Hyperoxaluria
152829	C0020500	C0282528	CURATED	0	0	0	0	0	1	1	1	1	1	Peroxisomal Disorders	Hyperoxaluria
152950	C0020500	C1836742	CURATED	0	0	0	0	0	1	1	1	1	1	Absent brainstem auditory responses	Hyperoxaluria
152959	C0020500	C1856779	CURATED	0	0	0	0	0	1	1	1	1	1	Widely patent sagittal suture	Hyperoxaluria
152985	C0020500	C4023692	CURATED	0	0	0	0	0	1	1	1	1	1	Ridged cranial sutures	Hyperoxaluria
152986	C0020500	C4023786	CURATED	0	0	0	0	0	1	1	1	1	1	Elevated levels of phytanic acid	Hyperoxaluria
162572	C0020672	C3550430	CURATED	0	0	0	0	0	2	2	3	3	0.666666666666667	Eclabion	Hypothermia, natural
167807	C0021670	C1855801	CURATED	0	0	0	0	0	1	1	1	1	1	Calcium nephrolithiasis	insulinoma
167812	C0021670	C4025337	CURATED	0	0	0	0	0	1	1	1	1	1	Abnormality of calcium homeostasis	insulinoma
176894	C0023211	C0030590	CURATED	0	0	0	0	0	1	1	1	1	1	Paroxysmal supraventricular tachycardia	Left Bundle-Branch Block
176899	C0023211	C4023289	CURATED	0	0	0	0	0	1	1	1	1	1	Transitional atrioventricular canal defect	Left Bundle-Branch Block
178846	C0023269	C0346011	CURATED	0	0	0	0	0	1	1	1	1	1	Fibrofolliculoma	leiomyosarcoma
178874	C0023269	C0578878	CURATED	0	0	0	0	0	1	1	1	1	1	Inflammation of large intestine	leiomyosarcoma
178960	C0023269	C2698310	CURATED	0	0	0	0	0	1	1	1	1	1	B Lymphoblastic Leukemia/Lymphoma, Not Otherwise Specified	leiomyosarcoma
186972	C0023601	C2674612	CURATED	0	0	0	0	0	1	1	1	1	1	Leydig Cell Adenoma, Somatic, with Male-Limited Precocious Puberty	Leydig Cell Tumor
188279	C0023885	C4316995	CURATED	0	0	0	0	0	1	1	1	1	1	Primary Hypothyroidism	Liver Abscess
198328	C0024145	C1860518	CURATED	1	1	3	3	0.333333333333333	8	9	8	9	0.888888888888889	Vasculopathy, Retinal, With Cerebral Leukodystrophy	Chilblain lupus 1
201168	C0024528	C0085096	CURATED	0	0	0	0	0	1	1	1	1	1	Peripheral Vascular Diseases	Malaise and fatigue
201169	C0024528	C0494479	CURATED	0	0	0	0	0	1	1	1	1	1	Other headache syndrome	Malaise and fatigue
201170	C0024528	C0546817	CURATED	0	0	0	0	0	1	1	1	1	1	Fluid overload	Malaise and fatigue
201172	C0024528	C1367972	CURATED	0	0	0	0	0	1	1	1	1	1	Phlebitis and thrombophlebitis	Malaise and fatigue
208152	C0025237	C0265293	CURATED	1	2	16	17	0.0588235294117647	16	16	19	19	0.842105263157895	Frontometaphyseal dysplasia	Melnick-Needles Syndrome
208240	C0025237	C1844696	CURATED	1	1	16	16	0.0625	17	21	19	23	0.739130434782609	OTOPALATODIGITAL SYNDROME, TYPE II	Melnick-Needles Syndrome
208517	C0025269	C0238462	CURATED	1	1	1	1	1	14	20	15	21	0.666666666666667	Medullary carcinoma of thyroid	Multiple Endocrine Neoplasia Type 2b
209187	C0025289	C0542571	CURATED	0	0	0	0	0	1	1	1	1	1	Facial edema	Meningitis
210918	C0025467	C0013428	CURATED	0	0	0	0	0	2	3	2	3	0.666666666666667	Dysuria	Mesenteric Cyst
210928	C0025467	C0029423	CURATED	0	0	0	0	0	2	2	2	2	1	Cartilaginous exostosis	Mesenteric Cyst
210938	C0025467	C0206619	CURATED	0	0	0	0	0	2	2	2	2	1	Lymphatic Vessel Tumors	Mesenteric Cyst
210940	C0025467	C0231807	CURATED	0	0	0	0	0	2	3	2	3	0.666666666666667	Dyspnea on exertion	Mesenteric Cyst
210962	C0025467	C1839816	CURATED	0	0	0	0	0	2	3	2	3	0.666666666666667	Long neck	Mesenteric Cyst
210966	C0025467	C1842681	CURATED	0	0	0	0	0	2	2	2	2	1	Hypoplastic helices	Mesenteric Cyst
210968	C0025467	C1849677	CURATED	0	0	0	0	0	2	2	2	2	1	Numerous nevi	Mesenteric Cyst
210973	C0025467	C4021735	CURATED	0	0	0	0	0	2	3	2	3	0.666666666666667	Abnormality of the hip bone	Mesenteric Cyst
210974	C0025467	C4021875	CURATED	0	0	0	0	0	2	2	2	2	1	Tall chin	Mesenteric Cyst
210975	C0025467	C4025663	CURATED	0	0	0	0	0	2	2	2	2	1	Abnormality of tibia morphology	Mesenteric Cyst
210978	C0025467	C4025895	CURATED	0	0	0	0	0	2	2	2	2	1	Abnormality of the scrotum	Mesenteric Cyst
212863	C0026205	C2938912	CURATED	0	0	0	0	0	1	1	1	1	1	Hyperintensity of cerebral white matter on MRI	Miosis disorder
213289	C0026470	C0030489	CURATED	0	0	0	0	0	8	8	8	8	1	Paraproteinemias	Monoclonal Gammopathy of Undetermined Significance
222865	C0027080	C0002886	CURATED	0	0	0	0	0	1	1	1	1	1	Anemia, Macrocytic	Myoglobinuria
222893	C0027080	C0271713	CURATED	0	0	0	0	0	1	1	1	1	1	Ketotic hypoglycemia	Myoglobinuria
222907	C0027080	C1560305	CURATED	0	0	0	0	0	1	1	1	1	1	Prolonged QTc interval	Myoglobinuria
222914	C0027080	C1963250	CURATED	0	0	0	0	0	1	1	1	1	1	Torsade de Pointes, CTCAE	Myoglobinuria
222921	C0027080	C4024898	CURATED	0	0	0	0	0	1	1	1	1	1	Atrophy/Degeneration affecting the cerebrum	Myoglobinuria
232060	C0027697	C1865276	CURATED	0	0	0	0	0	1	1	1	1	1	Global glomerulosclerosis	Nephritis
237864	C0027932	C1842981	CURATED	0	0	0	0	0	4	4	4	4	1	NEUROTICISM	Neurotic Disorders
238285	C0027961	C0003081	CURATED	0	0	0	0	0	1	1	1	1	1	Anisometropia	Nevus of Ota
238295	C0027961	C0037299	CURATED	0	0	0	0	0	1	1	1	1	1	Skin Ulcer	Nevus of Ota
238296	C0027961	C0038505	CURATED	0	0	0	0	0	1	1	1	1	1	Sturge-Weber Syndrome	Nevus of Ota
238308	C0027961	C0241665	CURATED	0	0	0	0	0	1	1	1	1	1	Abnormal venous morphology	Nevus of Ota
238311	C0027961	C0522035	CURATED	0	0	0	0	0	1	1	1	1	1	Edema of the upper extremity	Nevus of Ota
238318	C0027961	C1859882	CURATED	0	0	0	0	0	1	1	1	1	1	Pigmentation of the sclera	Nevus of Ota
238320	C0027961	C2673776	CURATED	0	0	0	0	0	1	1	1	1	1	Vascular tortuosity	Nevus of Ota
238322	C0027961	C4024885	CURATED	0	0	0	0	0	1	1	1	1	1	Macular hyperpigmented dermopathy	Nevus of Ota
238324	C0027961	C4476886	CURATED	0	0	0	0	0	1	1	1	1	1	Abnormal vena cava morphology	Nevus of Ota
241568	C0028949	C0392188	CURATED	0	0	0	0	0	1	1	1	1	1	Abnormal rapid eye movement sleep	Oligomenorrhea
241592	C0028949	C4022728	CURATED	0	0	0	0	0	1	1	1	1	1	Abnormal upper to lower segment ratio	Oligomenorrhea
241593	C0028949	C4022964	CURATED	0	0	0	0	0	1	1	1	1	1	Abnormality of the occipital bone	Oligomenorrhea
241594	C0028949	C4023791	CURATED	0	0	0	0	0	1	1	1	1	1	Abnormality of the clivus	Oligomenorrhea
241595	C0028949	C4083076	CURATED	0	0	0	0	0	1	1	1	1	1	Increased head circumference	Oligomenorrhea
243234	C0029294	C4539715	CURATED	0	0	0	0	0	1	1	1	1	1	JOUBERT SYNDROME 29	Orofaciodigital Syndromes
247213	C0029489	C0162311	CURATED	0	0	0	0	0	104	104	104	104	1	Androgenetic Alopecia	Other alopecia
247222	C0029489	C2676272	CURATED	0	0	0	0	0	104	104	104	104	1	Alopecia, Androgenetic, 3	Other alopecia
247223	C0029489	C2678038	CURATED	0	0	0	0	0	104	104	104	104	1	Alopecia, Androgenetic, 2	Other alopecia
247224	C0029489	C4049090	CURATED	0	0	0	0	0	104	104	104	104	1	Alopecia, Androgenetic, 1	Other alopecia
247229	C0029587	C0013473	CURATED	0	0	0	0	0	11	11	11	11	1	Eating Disorders	Other eating disorders
247232	C0029877	C0743178	CURATED	0	0	0	0	0	2	3	2	3	0.666666666666667	Intractable diarrhea	Ear Inflammation
247233	C0029877	C1260438	CURATED	0	0	0	0	0	2	3	2	3	0.666666666666667	Delayed separation of umbilical cord	Ear Inflammation
247235	C0029877	C4479548	CURATED	0	0	0	0	0	2	3	2	3	0.666666666666667	SPECIFIC GRANULE DEFICIENCY 2	Ear Inflammation
250300	C0030286	C0264222	CURATED	0	0	0	0	0	2	2	2	2	1	Acute upper respiratory infection	Pancreatic Diseases
250374	C0030286	C0546884	CURATED	0	0	0	0	0	2	3	2	3	0.666666666666667	Hypovolemia	Pancreatic Diseases
250391	C0030286	C0740266	CURATED	0	0	0	0	0	2	2	2	2	1	Anal and rectal conditions	Pancreatic Diseases
253247	C0030446	C0015190	CURATED	0	0	0	0	0	1	1	1	1	1	Euthyroid Sick Syndromes	Paralytic Ileus
253251	C0030446	C0021141	CURATED	0	0	0	0	0	1	1	1	1	1	Inappropriate ADH Syndrome	Paralytic Ileus
253255	C0030446	C0035232	CURATED	0	0	0	0	0	1	1	1	1	1	Respiratory Paralysis	Paralytic Ileus
253264	C0030446	C0338614	CURATED	0	0	0	0	0	1	1	1	1	1	Psychotic episodes	Paralytic Ileus
253266	C0030446	C1142277	CURATED	0	0	0	0	0	1	1	1	1	1	Brown urine	Paralytic Ileus
254578	C0030583	C0043352	CURATED	0	0	0	0	0	1	1	1	1	1	Xerostomia	Parotitis
254580	C0030583	C0232769	CURATED	0	0	0	0	0	1	1	1	1	1	Abnormal gallbladder function	Parotitis
254595	C0030590	C0023211	CURATED	0	0	0	0	0	1	1	1	1	1	Left Bundle-Branch Block	Paroxysmal supraventricular tachycardia
254601	C0030590	C4023289	CURATED	0	0	0	0	0	1	1	1	1	1	Transitional atrioventricular canal defect	Paroxysmal supraventricular tachycardia
254974	C0030805	C0684275	CURATED	0	0	0	0	0	2	2	2	2	1	Hemophilia, NOS	Bullous pemphigoid
259344	C0032231	C0004099	CURATED	0	0	0	0	0	2	2	2	2	1	Asthma, Exercise-Induced	Pleurisy
259345	C0032231	C0004144	CURATED	0	0	0	0	0	2	2	2	2	1	Atelectasis	Pleurisy
259543	C0032231	C0035455	CURATED	0	0	0	0	0	2	2	2	2	1	Rhinitis	Pleurisy
259595	C0032231	C0149514	CURATED	0	0	0	0	0	2	2	2	2	1	Acute bronchitis	Pleurisy
259597	C0032231	C0149781	CURATED	0	0	0	0	0	2	3	2	3	0.666666666666667	Spontaneous pneumothorax	Pleurisy
259675	C0032231	C0578475	CURATED	0	0	0	0	0	2	3	2	3	0.666666666666667	Cyanotic attack	Pleurisy
259676	C0032231	C0581354	CURATED	0	0	0	0	0	2	3	2	3	0.666666666666667	Recurrent sinusitis	Pleurisy
262205	C0032617	C0151723	CURATED	0	0	0	0	0	2	3	2	3	0.666666666666667	Hypomagnesemia	Polyuria
262224	C0032617	C0403477	CURATED	0	0	0	0	0	2	2	2	2	1	Medullary nephrocalcinosis	Polyuria
267255	C0033785	C0345394	CURATED	0	0	0	0	0	1	1	1	1	1	Hypoplasia of spine	Pseudarthrosis
267263	C0033785	C4021862	CURATED	0	0	0	0	0	1	1	1	1	1	Absent epiphyses	Pseudarthrosis
267264	C0033785	C4025010	CURATED	0	0	0	0	0	1	1	1	1	1	Coat hanger sign of ribs	Pseudarthrosis
267866	C0033860	C0038013	CURATED	4	11	57	64	0.0625	291	363	501	573	0.507853403141361	Ankylosing spondylitis	Psoriasis
